,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,11.5
1,Yellowknife,CA,62.456,-114.3525,28.92,46,0,6.91
2,Kodiak,US,57.79,-152.4072,42.31,65,40,6.91
3,Yulara,AU,-25.2406,130.9889,71.44,26,6,17.27
4,Ushuaia,AR,-54.8,-68.3,42.46,81,40,24.16
5,Narsaq,GL,60.9167,-46.05,35.82,62,100,3.65
6,Namibe,AO,-15.1961,12.1522,77.4,80,99,4.76
7,Arraial Do Cabo,BR,-22.9661,-42.0278,73.47,76,4,9.28
8,Scarborough,GB,54.2797,-0.4044,40.64,88,51,5.66
9,Cornwall,CA,45.0181,-74.7281,39.25,70,0,6.91
10,Mecca,SA,21.4267,39.8261,81.41,46,92,3.6
11,Lodwar,KE,3.1191,35.5973,83.12,59,100,18.19
12,Dikson,RU,73.5069,80.5464,-0.62,99,100,11.86
13,Butaritari,KI,3.0707,172.7902,81.7,79,60,13.33
14,Onzaga,CO,6.3443,-72.8173,60.31,91,99,1.14
15,Kapaa,US,22.0752,-159.319,82.38,89,100,21.85
16,Nanortalik,GL,60.1432,-45.2371,30.58,70,100,8.32
17,Vaini,TO,-21.2,-175.2,82.56,83,75,12.66
18,Nome,US,64.5011,-165.4064,39.16,64,0,5.75
19,Rikitea,PF,-23.1203,-134.9692,79.03,71,93,19.13
20,Hermanus,ZA,-34.4187,19.2345,57.79,95,98,2.62
21,Carnarvon,AU,-24.8667,113.6333,78.87,29,98,9.22
22,Yumen,CN,40.2833,97.2,54.9,15,100,8.43
23,Busselton,AU,-33.65,115.3333,65.35,59,0,12.97
24,Klaksvik,FO,62.2266,-6.589,43.72,91,1,16.73
25,Mayo,US,38.8876,-76.5119,53.55,71,0,5.75
26,Bulungu,CD,-4.55,18.6,70.38,96,100,1.54
27,Hambantota,LK,6.1241,81.1185,80.78,81,25,4.47
28,Ribeira Grande,PT,38.5167,-28.7,59.74,69,95,6.29
29,Saskylakh,RU,71.9167,114.0833,10.18,94,100,5.46
30,Tandil,AR,-37.3217,-59.1332,58.68,95,87,7.72
31,Kuytun,RU,54.3419,101.5036,37.45,58,100,12.37
32,Barrow,US,71.2906,-156.7887,10.42,72,0,12.66
33,Vila,PT,42.0304,-8.1588,36.48,86,95,2.19
34,Kendari,ID,-3.945,122.4989,86.5,64,100,0.89
35,Qasigiannguit,GL,68.8193,-51.1922,17.85,73,100,8.37
36,Port Hardy,CA,50.6996,-127.4199,50.18,53,100,18.41
37,Castro,BR,-24.7911,-50.0119,55.72,85,0,3.69
38,Ojinaga,MX,29.5667,-104.4167,90.55,14,0,0.0
39,Hurricane,US,37.1753,-113.2899,74.7,20,84,11.83
40,Tiksi,RU,71.6872,128.8694,12.43,94,100,5.64
41,Cabo San Lucas,MX,22.8909,-109.9124,73.71,72,0,5.01
42,Kinlochleven,GB,56.7115,-4.9661,44.29,76,98,5.53
43,Tasiilaq,GL,65.6145,-37.6368,30.36,93,74,3.69
44,Yerbogachen,RU,61.2767,108.0108,27.52,67,49,6.49
45,Leningradskiy,RU,69.3833,178.4167,23.99,89,60,7.18
46,Jamestown,US,42.097,-79.2353,46.04,45,100,5.75
47,Aloja,LV,57.7669,24.8825,41.59,85,0,9.48
48,Buraydah,SA,26.326,43.975,73.85,26,28,11.21
49,Brokopondo,SR,4.75,-55.1667,75.56,93,100,8.03
50,Qaanaaq,GL,77.484,-69.3632,-7.58,86,100,6.67
51,East London,ZA,-33.0153,27.9116,69.84,52,89,5.91
52,Sakakah,SA,29.9697,40.2064,65.77,26,0,7.9
53,Soderhamn,SE,61.3037,17.0592,41.18,75,100,4.5
54,Houma,US,29.5958,-90.7195,72.0,90,75,8.05
55,Saldanha,ZA,-33.0117,17.9442,60.85,94,1,9.13
56,Belaya Gora,RU,68.5333,146.4167,22.55,85,100,1.25
57,Chandur Bazar,IN,21.2417,77.7456,93.43,18,98,9.1
58,Hofn,IS,64.2539,-15.2082,45.57,97,100,8.48
59,Sitka,US,57.0531,-135.33,49.89,62,40,12.66
60,Souillac,MU,-20.5167,57.5167,75.58,94,40,5.75
61,Atuona,PF,-9.8,-139.0333,79.14,74,25,17.78
62,Bartica,GY,6.4,-58.6167,75.52,94,6,2.71
63,Port Victoria,KE,0.0939,33.9756,68.68,84,100,3.42
64,Nador,MA,35.174,-2.9287,61.05,51,0,17.27
65,Bambanglipuro,ID,-7.95,110.2833,79.38,82,95,3.02
66,Mogadouro,PT,41.3403,-6.7119,34.41,73,7,1.5
67,Lazaro Cardenas,MX,17.9583,-102.2,76.57,77,0,6.2
68,Chokurdakh,RU,70.6333,147.9167,21.38,92,62,5.17
69,Brandon,US,27.9378,-82.2859,72.1,69,0,5.75
