City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
6,Namibe,AO,77.4,-15.1961,12.1522,Hotel Chik Chik Namibe
10,Mecca,SA,81.41,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
11,Lodwar,KE,83.12,3.1191,35.5973,Solmar Gracious Hotel
13,Butaritari,KI,81.7,3.0707,172.7902,Isles Sunset Lodge
15,Kapaa,US,82.38,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Vaini,TO,82.56,-21.2,-175.2,Keleti Beach Resort
19,Rikitea,PF,79.03,-23.1203,-134.9692,People ThankYou
21,Carnarvon,AU,78.87,-24.8667,113.6333,Hospitality Carnarvon
27,Hambantota,LK,80.78,6.1241,81.1185,Bungalow 63
34,Kendari,ID,86.5,-3.945,122.4989,Hotel Wixel
49,Brokopondo,SR,75.56,4.75,-55.1667,Matu Island
60,Souillac,MU,75.58,-20.5167,57.5167,Shanti Maurice Resort & Spa
61,Atuona,PF,79.14,-9.8,-139.0333,Villa Enata
62,Bartica,GY,75.52,6.4,-58.6167,Sloth Island Nature Resort
65,Bambanglipuro,ID,79.38,-7.95,110.2833,Puri Brata
67,Lazaro Cardenas,MX,76.57,17.9583,-102.2,HOTEL QUINTA ANTIGUA
76,Catia La Mar,VE,81.5,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
81,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
88,Bengkulu,ID,78.21,-3.8004,102.2655,Grage Hotel Bengkulu
92,Kavieng,PG,84.22,-2.5744,150.7967,Nusa Island Retreat
101,Itoman,JP,80.98,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
102,Kribi,CM,78.04,2.95,9.9167,La Grace Hôtel
105,Axim,GH,79.07,4.8699,-2.2405,Axim Beach Resort And Spa
115,Isangel,VU,81.79,-19.55,169.2667,Tanna Lodge
116,Hithadhoo,MV,82.76,-0.6,73.0833,Scoop Guest House
123,Cap Malheureux,MU,75.47,-19.9842,57.6142,Pereybere Hotel & Spa
127,Lorengau,PG,85.95,-2.0226,147.2712,Lorengau Harbourside Hotel
131,Hilo,US,77.29,19.7297,-155.09,Hilo Hawaiian Hotel
141,Riyadh,SA,78.94,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
143,Palimbang,PH,85.86,6.2106,124.1894,Felmar Beach resort
147,Kulhudhuffushi,MV,84.15,6.6221,73.07,Haajy Guest House 1
152,Dezhou,CN,75.2,37.4486,116.2925,Zhongtai International Hotel
154,Morant Bay,JM,82.02,17.8815,-76.4093,Whispering Bamboo Cove Resort
156,Gwadar,PK,78.06,25.1216,62.3254,Sadaf Resort
161,Georgetown,MY,85.93,5.4112,100.3354,Cititel Penang
173,Lufilufi,WS,80.38,-13.8745,-171.5986,Leuaina Beach Resort and Spa
174,Kupang,ID,85.41,-10.1667,123.5833,Hotel On The Rock by Prasanthi
185,Bandarbeyla,SO,79.32,9.4942,50.8122,JABIR HOTEL
186,Olinda,BR,78.53,-8.0089,-34.8553,Flat Quatro Rodas Olinda
189,Mogadishu,SO,82.17,2.0371,45.3438,Hotel Juba
190,Katobu,ID,86.22,-4.9408,122.5276,La Ode Husein
192,San Miguel,SV,83.86,13.4833,-88.1833,Excalibur
201,Bambous Virieux,MU,75.45,-20.3428,57.7575,Casa Tia Villa
210,Vanimo,PG,78.31,-2.6741,141.3028,Vahmoneh Lodge Vanimo
216,Dingle,PH,86.63,10.9995,122.6711,SEGAYA PROPERTY
227,Atar,MR,78.33,20.5169,-13.0499,Oumou Elghoura
229,Miragoane,HT,78.08,18.4423,-73.0876,Wj hotel
231,Caboolture,AU,80.94,-27.0833,152.95,Caboolture Riverlakes Motel
232,Charters Towers,AU,78.1,-20.1,146.2667,Cattleman's Rest Motor Inn
236,Wau,SS,78.73,7.7029,27.9953,Universal Gab Hotel
